name,energy,moisuture,protein,lipid,carbohydrate,ash,sodium,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,retinol,carotene,inRetinolAmount,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,niacin,vitaminB6,vitaminB12,folicAcid,pantothenicAcid,vitaminC,saturatedFattyAcid,monounsaturatedFattyAcid,polyunsaturatedFattyAcid,cholesterol,waterSolubleFiberContaining,waterUnsolubleFiberContaining,totalFiberContaining,solt
かぶの葉塩もみ,0.29,0.879,0.023,0.002,0.06,0.036,9.1,2.9,2.4,0.32,0.46,0.026,0.003,0.0006,0.0033,0,12,2.1,0,0.03,3.6,0.0007,0.0019,0.01,0.011,0,0.78,0.0049,0.44,0,0,0,0,0.008,0.028,0.036,0.023
かぶ塩もみ,0.21,0.894,0.008,0.001,0.047,0.048,17,4,0.33,0.14,0.38,0.003,0.002,0.0004,0.0005,0,0,0,0,0,0,0.0004,0.0003,0.001,0.001,0,0.58,0.0025,0.21,0,0,0,0,0.004,0.016,0.02,0.043
かぶぬか漬,0.31,0.835,0.014,0.001,0.069,0.079,27,7.4,0.26,0.68,0.76,0.003,0.002,0.0004,0,0,0,0,0,0,0,0.0045,0.0005,0.032,0.0042,0,0.7,0.0111,0.2,0,0,0,0,0.007,0.011,0.018,0.069
かぼちゃ,0.83,0.781,0.022,0.003,0.185,0.009,0.03,4.3,0.25,0.26,0.46,0.005,0.006,0.0005,0.0014,0,38,6.3,0,0.043,0.17,0.0006,0.0009,0.013,0.0019,0,0.48,0.0044,0.34,0,0,0,0,0.009,0.033,0.042,0
そうめんかぼちゃ,0.24,0.924,0.007,0.001,0.061,0.006,0.01,2.6,0.27,0.16,0.35,0.003,0.002,0.0005,0.0009,0,0.49,0.08,0,0.002,0,0.0005,0.0001,0.005,0.001,0,0.25,0.0036,0.11,0,0,0,0,0.003,0.012,0.015,0
からしな,0.26,0.903,0.033,0.001,0.047,0.013,0.6,6.2,1.4,0.21,0.72,0.022,0.009,0.0008,0.0102,0,28,4.6,0,0.031,2.6,0.0012,0.0027,0.012,0.0025,0,3.1,0.0032,0.64,0,0,0,0,0.009,0.028,0.037,0.002
からしな漬,0.36,0.845,0.04,0.001,0.072,0.038,9.7,5.3,1.5,0.23,0.71,0.018,0.011,0.001,0.0076,0,30,4.9,0,0.032,2.7,0.0008,0.0028,0.006,0.0027,0,2.1,0.0037,0.8,0,0,0,0,0.01,0.04,0.05,0.025
カリフラワー,0.26,0.915,0.027,0.001,0.051,0.006,0.08,2.2,0.23,0.13,0.37,0.007,0.004,0.0003,0.0017,0,0.16,0.03,0,0.002,0.31,0.0005,0.0005,0.002,0.0013,0,0.88,0.0084,0.53,0,0,0,0,0.007,0.025,0.032,0
かんぴょう,2.61,0.198,0.071,0.002,0.679,0.05,0.03,18,2.5,1.1,1.4,0.029,0.018,0.0062,0.016,0,0,0,0,0.004,0,0,0.0004,0.027,0.0004,0,0.99,0.0175,0,0,0,0,0,0.068,0.233,0.301,0
きく花,0.27,0.915,0.014,0,0.065,0.006,0.02,2.8,0.22,0.12,0.28,0.007,0.003,0.0004,0.0036,0,0.67,0.11,0,0.047,0.11,0.001,0.0011,0.005,0.0008,0,0.73,0.002,0.11,0,0,0,0,0.008,0.026,0.034,0
