name,energy,moisuture,protein,lipid,carbohydrate,ash,sodium,potassium,calcium,magnesium,phosphorus,iron,zinc,copper,manganese,retinol,carotene,inRetinolAmount,vitaminD,vitaminE,vitaminK,vitaminB1,vitaminB2,niacin,vitaminB6,vitaminB12,folicAcid,pantothenicAcid,vitaminC,saturatedFattyAcid,monounsaturatedFattyAcid,polyunsaturatedFattyAcid,cholesterol,waterSolubleFiberContaining,waterUnsolubleFiberContaining,totalFiberContaining,solt
とうがらし,3.45,0.088,0.147,0.12,0.584,0.061,0.17,28,0.74,1.9,2.6,0.068,0.015,0.0085,0.0108,0,170,29,0,0.307,0.58,0.005,0.014,0.14,0.0381,0,0.3,0.0361,0.01,0,0,0,0,0.054,0.41,0.464,0
とうがん,0.16,0.953,0.006,0.001,0.037,0.003,0.01,2,0.22,0.07,0.19,0.003,0.001,0.0001,0.0002,0,0,0,0,0.001,0,0.0001,0.0001,0.004,0.0003,0,0.25,0.002,0.27,0,0,0,0,0.005,0.01,0.015,0
コーン,0.97,0.756,0.035,0.015,0.187,0.007,0.01,2.3,0.04,0.33,0.9,0.006,0.01,0.0008,0.0022,0,0.82,0.14,0,0.002,0,0.0012,0.0009,0.022,0.001,0,0.77,0.0049,0.06,0.0029,0.0044,0.0057,0,0.003,0.025,0.028,0
クリームコーン,0.84,0.782,0.017,0.005,0.186,0.01,2.6,1.5,0.02,0.18,0.46,0.004,0.004,0.0004,0.0007,0,0.5,0.08,0,0.001,0,0.0002,0.0005,0.008,0.0003,0,0.19,0.0034,0.03,0,0,0,0,0.002,0.016,0.018,0.007
ヤングコーン ,0.29,0.909,0.023,0.002,0.06,0.006,0,2.3,0.19,0.25,0.63,0.004,0.008,0.0009,0.006,0,0.35,0.06,0,0.005,0.01,0.0009,0.0011,0.009,0.0016,0,1.1,0.004,0.09,0,0,0,0,0.002,0.025,0.027,0
トマト,0.19,0.94,0.007,0.001,0.047,0.005,0.03,2.1,0.07,0.09,0.26,0.002,0.001,0.0004,0.0008,0,5.4,0.9,0,0.009,0.04,0.0005,0.0002,0.007,0.0008,0,0.22,0.0017,0.15,0.0002,0.0001,0.0003,0,0.003,0.007,0.01,0
とまと,0.19,0.94,0.007,0.001,0.047,0.005,0.03,2.1,0.07,0.09,0.26,0.002,0.001,0.0004,0.0008,0,5.4,0.9,0,0.009,0.04,0.0005,0.0002,0.007,0.0008,0,0.22,0.0017,0.15,0.0002,0.0001,0.0003,0,0.003,0.007,0.01,0
ミニトマト,0.29,0.91,0.011,0.001,0.072,0.006,0.04,2.9,0.12,0.13,0.29,0.004,0.002,0.0006,0.001,0,9.6,1.6,0,0.009,0.07,0.0007,0.0005,0.008,0.0011,0,0.35,0.0017,0.32,0.0002,0.0001,0.0003,0,0.004,0.01,0.014,0
トマト缶,0.2,0.933,0.009,0.002,0.044,0.012,0.1,2.4,0.09,0.13,0.26,0.004,0.001,0.0008,0.0009,0,5.7,0.94,0,0.013,0.05,0.0006,0.0003,0.006,0.001,0,0.21,0.0022,0.1,0.0004,0.0002,0.0005,0,0.005,0.008,0.013,0
トマトジュース,0.17,0.941,0.007,0.001,0.04,0.011,2.3,2.6,0.06,0.09,0.18,0.003,0.001,0.0006,0.0005,0,3.1,0.52,0,0.007,0.02,0.0004,0.0004,0.007,0.0009,0,0.17,0.0018,0.06,0.0002,0.0001,0.0003,0,0.003,0.004,0.007,0.006
無塩トマトジュース,0.17,0.941,0.007,0.001,0.04,0.011,0.1,2.6,0.06,0.09,0.18,0.003,0.001,0.0006,0.0005,0,3.1,0.52,0,0.007,0.02,0.0004,0.0004,0.007,0.0009,0,0.17,0.0018,0.06,0.0002,0.0001,0.0003,0,0.003,0.004,0.007,0
トマトミックスジュース,0.17,0.942,0.006,0,0.043,0.009,2.5,2,0.11,0.13,0.11,0.003,0.001,0.0008,0.0007,0,3.9,0.64,0,0.008,0.06,0.0003,0.0003,0.004,0.0006,0,0.1,0.002,0.03,0,0,0,0,0.004,0.003,0.007,0.006
無塩トマトミックスジュース,0.17,0.942,0.006,0,0.043,0.009,0.1,2,0.11,0.13,0.11,0.003,0.001,0.0008,0.0007,0,3.9,0.64,0,0.008,0.06,0.0003,0.0003,0.004,0.0006,0,0.1,0.002,0.03,0,0,0,0,0.004,0.003,0.007,0
とんぶり,0.9,0.767,0.061,0.035,0.129,0.008,0.05,1.9,0.15,0.74,1.7,0.028,0.014,0.0025,0.0078,0,8,1.3,0,0.047,1.2,0.0011,0.0017,0.003,0.0016,0,1,0.0048,0.01,0.0036,0.005,0.0165,0,0.006,0.065,0.071,0
なす,0.22,0.932,0.011,0.001,0.051,0.005,0,2.2,0.18,0.17,0.3,0.003,0.002,0.0006,0.0016,0,1,0.17,0,0.003,0.1,0.0005,0.0005,0.005,0.0005,0,0.32,0.0033,0.04,0.0003,0,0,0.01,0.003,0.019,0.022,0
べいなす,0.22,0.93,0.011,0.001,0.053,0.005,0.01,2.2,0.1,0.14,0.26,0.004,0.002,0.0008,0.0013,0,0.45,0.08,0,0.003,0.09,0.0004,0.0004,0.006,0.0006,0,0.19,0.003,0.06,0.0003,0,0,0,0.003,0.021,0.024,0
なす漬,0.23,0.904,0.014,0.001,0.052,0.029,8.8,2.6,0.18,0.18,0.33,0.006,0.002,0.0009,0.0018,0,0.44,0.07,0,0.003,0.1,0.0003,0.0004,0.004,0.0007,0,0.32,0.0041,0.07,0,0,0,0,0.005,0.022,0.027,0.022
なすぬか漬,0.27,0.887,0.017,0.001,0.061,0.034,9.9,4.3,0.21,0.33,0.44,0.005,0.002,0.0009,0.0019,0,0.26,0.04,0,0.003,0.12,0.001,0.0004,0.01,0.0015,0,0.43,0.0067,0.08,0,0,0,0,0.006,0.021,0.027,0.025
なすこうじ漬,0.79,0.691,0.055,0.001,0.182,0.071,26,2.1,0.65,0.22,0.65,0.014,0.004,0.0017,0.004,0,0.05,0.01,0,0.005,0.27,0.0003,0.0005,0.003,0.0003,0,0.09,0.0013,0,0,0,0,0,0.008,0.034,0.042,0.066
なすからし漬,1.18,0.612,0.026,0.002,0.307,0.053,19,0.72,0.71,0.36,0.55,0.015,0.004,0.0013,0.0032,0,0.76,0.13,0,0.002,0.24,0.0006,0.0004,0.006,0.0009,0,0.18,0.0008,0.87,0,0,0,0,0.01,0.032,0.042,0.048
しば漬,0.3,0.864,0.014,0.002,0.07,0.049,16,0.5,0.3,0.16,0.27,0.017,0.002,0.0012,0.0029,0,5.8,0.96,0,0.007,0.72,0,0.0002,0.001,0.0003,0,0.09,0.0013,0,0,0,0,0,0.006,0.038,0.044,0.041
なずな,0.36,0.868,0.043,0.001,0.07,0.017,0.03,4.4,2.9,0.34,0.92,0.024,0.007,0.0016,0.01,0,52,8.7,0,0.025,3.3,0.0015,0.0027,0.005,0.0032,0,1.8,0.011,1.1,0,0,0,0,0.005,0.049,0.054,0
なのはな,0.28,0.902,0.047,0.001,0.043,0.007,0.07,1.7,1.4,0.19,0.86,0.017,0.004,0.0007,0.0025,0,24,4,0,0.029,2.5,0.0007,0.0014,0.005,0.0011,0,1.9,0.003,0.44,0,0,0,0,0.013,0.03,0.043,0
にがうり,0.17,0.944,0.01,0.001,0.039,0.006,0.01,2.6,0.14,0.14,0.31,0.004,0.002,0.0005,0.001,0,2.1,0.35,0,0.009,0.41,0.0005,0.0007,0.003,0.0006,0,0.72,0.0037,0.76,0,0,0,0,0.005,0.021,0.026,0
にら,0.31,0.898,0.026,0.005,0.057,0.011,0.01,4,0.51,0.2,0.26,0.007,0.003,0.0009,0.0049,0,44,7.4,0,0.032,3.3,0.0004,0.0012,0.003,0.0013,0,0.77,0.0039,0.11,0,0,0,0,0.008,0.035,0.043,0
花にら,0.27,0.914,0.019,0.002,0.059,0.006,0.01,2.5,0.22,0.15,0.41,0.005,0.003,0.0008,0.002,0,11,1.8,0,0.01,1,0.0007,0.0008,0.006,0.0017,0,1.2,0.0042,0.23,0,0,0,0,0.005,0.023,0.028,0
黄にら,0.18,0.94,0.021,0.001,0.033,0.005,0,1.8,0.15,0.11,0.35,0.007,0.002,0.0007,0.0018,0,0.59,0.1,0,0.003,0.29,0.0005,0.0008,0.007,0.0012,0,0.76,0.0038,0.15,0,0,0,0,0.004,0.016,0.02,0
にんじん葉,0.18,0.935,0.011,0.002,0.037,0.011,0.31,5.1,0.92,0.27,0.52,0.009,0.003,0.0004,0.0026,0,17,2.8,0,0.011,1.6,0.0006,0.0012,0.011,0.0015,0,0.73,0.0043,0.22,0,0,0,0,0.005,0.022,0.027,0.001
にんじん,0.37,0.896,0.006,0.001,0.09,0.007,0.25,2.7,0.27,0.09,0.24,0.002,0.002,0.0004,0.001,0,82,14,0,0.005,0.03,0.0004,0.0004,0.006,0.0011,0,0.23,0.0037,0.04,0,0,0,0,0.007,0.018,0.025,0.001
ゆでにんじん,0.39,0.891,0.006,0.001,0.096,0.006,0.21,2.4,0.3,0.09,0.25,0.002,0.002,0.0004,0.0022,0,86,14,0,0.005,0.03,0.0003,0.0004,0.005,0.0012,0,0.19,0.0027,0.02,0,0,0,0,0.01,0.02,0.03,0.001
にんじんジュース,0.28,0.92,0.006,0.001,0.067,0.006,0.19,2.8,0.1,0.07,0.2,0.002,0.001,0.0004,0.0007,0,45,7.4,0,0.002,0.02,0.0003,0.0004,0.006,0.0008,0,0.13,0.0027,0.01,0,0,0,0,0.002,0,0.002,0
ミニキャロット,0.32,0.909,0.007,0.002,0.075,0.007,0.15,3.4,0.3,0.08,0.22,0.003,0.002,0.0005,0.0012,0,60,10,0,0.006,0.13,0.0004,0.0003,0.006,0.001,0,0.32,0.0041,0.04,0,0,0,0,0.006,0.021,0.027,0
にんにく,1.34,0.651,0.06,0.013,0.263,0.013,0.09,5.3,0.14,0.25,1.5,0.008,0.007,0.0018,0.0027,0,0,0,0,0.005,0,0.0019,0.0007,0.007,0.015,0,0.92,0.0055,0.1,0.0018,0.0004,0.0041,0,0.037,0.02,0.057,0
茎にんにく,0.44,0.869,0.017,0.002,0.107,0.005,0.06,1.6,0.4,0.15,0.33,0.005,0.003,0.0006,0.0035,0,6.8,1.1,0,0.008,0.51,0.001,0.0007,0.003,0.0028,0,1.2,0.0031,0.39,0,0,0,0,0.01,0.028,0.038,0
ねぎ,0.28,0.917,0.005,0.001,0.072,0.004,0,1.8,0.31,0.11,0.26,0.002,0.003,0.0004,0.001,0,0.14,0.02,0,0.001,0.07,0.0004,0.0004,0.004,0.0011,0,0.56,0.0014,0.11,0,0,0,0.02,0.002,0.02,0.022,0
葉ねぎ,0.31,0.906,0.015,0.003,0.07,0.006,0,2.2,0.54,0.18,0.31,0.007,0.002,0.0004,0.0018,0,19,3.1,0,0.009,0.94,0.0005,0.0009,0.005,0.0012,0,1.1,0.0024,0.31,0.0004,0.0001,0.0008,0,0.004,0.025,0.029,0
こねぎ,0.27,0.913,0.02,0.003,0.054,0.009,0.01,3.2,1,0.17,0.36,0.01,0.003,0.0003,0.0018,0,22,3.7,0,0.013,1.2,0.0008,0.0014,0.006,0.0013,0,1.2,0.002,0.44,0,0,0,0,0.002,0.023,0.025,0
のざわな漬,0.18,0.918,0.012,0.001,0.041,0.024,6.1,3,1.3,0.21,0.39,0.004,0.003,0.0005,0.0013,0,16,2.7,0,0.007,1.1,0.0005,0.0011,0.005,0.0006,0,0.64,0.0013,0.27,0,0,0,0,0.002,0.023,0.025,0.015
のざわな調味漬,0.23,0.895,0.017,0,0.054,0.032,9.6,3.6,0.94,0.21,0.36,0.007,0.003,0.0008,0.0015,0,24,4,0,0.013,2,0.0003,0.0011,0.005,0.0008,0,0.35,0.0017,0.26,0,0,0,0,0.005,0.026,0.031,0.024
のびる,0.65,0.802,0.032,0.002,0.155,0.009,0.02,5.9,1,0.21,0.96,0.026,0.01,0.0006,0.0041,0,8.1,1.3,0,0.013,1.6,0.0008,0.0022,0.011,0.0016,0,1.1,0.0029,0.6,0,0,0,0,0.033,0.036,0.069,0
はくさい,0.14,0.952,0.008,0.001,0.032,0.006,0.06,2.2,0.43,0.1,0.33,0.003,0.002,0.0003,0.0011,0,0.99,0.16,0,0.002,0.59,0.0003,0.0003,0.006,0.0009,0,0.61,0.0025,0.19,0.0001,0,0.0003,0,0.003,0.01,0.013,0
ゆではくさい,0.13,0.954,0.009,0.001,0.029,0.005,0.05,1.6,0.43,0.09,0.33,0.003,0.002,0.0003,0.0012,0,1.3,0.22,0,0.001,0.87,0.0001,0.0001,0.003,0.0004,0,0.42,0.0025,0.1,0.0001,0,0.0003,0,0.004,0.01,0.014,0
はくさい漬,0.17,0.922,0.013,0.001,0.035,0.029,9,0.2,0.42,0.15,0.34,0.003,0.003,0.0004,0.0007,0,0.14,0.02,0,0.002,0.57,0.0003,0.0003,0.003,0.0012,0,0.83,0.0022,0.24,0.0001,0,0.0003,0,0.003,0.015,0.018,0.023
キムチ ,0.46,0.858,0.028,0.003,0.079,0.031,8.7,3.4,0.48,0.17,0.55,0.006,0.003,0.0006,0.0017,0,2.1,0.35,0,0.005,0.63,0.0005,0.0014,0.008,0.0021,0,0.45,0.0043,0.24,0,0,0,0,0.007,0.02,0.027,0.022
パクチョイ,0.15,0.94,0.016,0.002,0.027,0.011,0.12,4.5,1,0.27,0.39,0.008,0.003,0.0004,0.0025,0,18,3,0,0.009,1.9,0.0007,0.0012,0.008,0.0011,0,1.4,0.0034,0.45,0,0,0,0,0.004,0.014,0.018,0
バジル,0.24,0.915,0.02,0.006,0.04,0.015,0.01,4.2,2.4,0.69,0.41,0.015,0.006,0.002,0.0191,0,63,10,0,0.035,4.4,0.0008,0.0019,0.006,0.0011,0,0.69,0.0029,0.16,0,0,0,0,0.009,0.031,0.04,0
パセリ,0.44,0.847,0.037,0.007,0.082,0.027,0.09,10,2.9,0.42,0.61,0.075,0.01,0.0016,0.0105,0,74,12,0,0.034,8.5,0.0012,0.0024,0.012,0.0027,0,2.2,0.0048,1.2,0,0,0,0,0.006,0.062,0.068,0
はつかだいこん,0.15,0.953,0.008,0.001,0.031,0.007,0.08,2.2,0.21,0.11,0.46,0.003,0.001,0.0002,0.0005,0,0,0,0,0,0.01,0.0002,0.0002,0.001,0.0007,0,0.53,0.0018,0.12,0,0,0,0,0.002,0.01,0.012,0
はやとうり,0.2,0.94,0.006,0.001,0.049,0.004,0,1.7,0.12,0.1,0.21,0.003,0.001,0.0003,0.0015,0,0,0,0,0.002,0.09,0.0002,0.0003,0.003,0.0004,0,0.44,0.0046,0.11,0,0,0,0,0.002,0.01,0.012,0
はやとうり漬,0.17,0.91,0.006,0,0.044,0.04,14,1.1,0.08,0.1,0.14,0.002,0.001,0.0004,0.0017,0,0,0,0,0.001,0.11,0.0002,0.0004,0.003,0.0004,0,0.25,0.0047,0.09,0,0,0,0,0.003,0.013,0.016,0.036
ピーマン,0.22,0.934,0.009,0.002,0.051,0.004,0.01,1.9,0.11,0.11,0.22,0.004,0.002,0.0006,0.001,0,4,0.67,0,0.008,0.2,0.0003,0.0003,0.006,0.0019,0,0.26,0.003,0.76,0.0002,0,0.0005,0,0.006,0.017,0.023,0
赤ピーマン,0.3,0.911,0.01,0.002,0.072,0.005,0,2.1,0.07,0.1,0.22,0.004,0.002,0.0003,0.0013,0,11,1.8,0,0.043,0.07,0.0006,0.0014,0.012,0.0037,0,0.68,0.0028,1.7,0,0,0,0,0.005,0.011,0.016,0
黄ピーマン,0.27,0.92,0.008,0.002,0.066,0.004,0,2,0.08,0.1,0.21,0.003,0.002,0.0004,0.0015,0,2,0.34,0,0.024,0.03,0.0004,0.0003,0.01,0.0026,0,0.54,0.0025,1.5,0,0,0,0,0.004,0.009,0.013,0
トマピー,0.31,0.909,0.01,0.002,0.075,0.004,0,2.1,0.08,0.08,0.29,0.004,0.003,0.0007,0.0012,0,19,3.2,0,0.043,0.04,0.0005,0.0009,0.012,0.0056,0,0.45,0.0033,2,0,0,0,0,0.006,0.01,0.016,0
ふき,0.08,0.974,0.003,0,0.019,0.004,0.22,2.3,0.34,0.05,0.15,0.001,0.002,0.0005,0.0037,0,0.6,0.1,0,0.002,0.05,0,0.0001,0.001,0.0008,0,0.09,0,0,0,0,0,0,0.001,0.01,0.011,0.001
ふきのと,0.43,0.855,0.025,0.001,0.1,0.019,0.04,7.4,0.61,0.49,0.89,0.013,0.008,0.0036,0.0023,0,3.9,0.66,0,0.033,0.92,0.001,0.0017,0.009,0.0018,0,1.6,0.0045,0.14,0,0,0,0,0.01,0.054,0.064,0
ブロッコリー,0.27,0.913,0.035,0.004,0.043,0.005,0.14,1.8,0.33,0.17,0.66,0.007,0.003,0.0006,0.0017,0,7.7,1.3,0,0.017,1.5,0.0006,0.0009,0.004,0.0012,0,1.2,0.0078,0.54,0,0,0,0,0.008,0.029,0.037,0
ほうれんそう,0.25,0.915,0.026,0.005,0.04,0.012,0.1,4.9,0.69,0.4,0.43,0.009,0.007,0.0011,0.0033,0,54,9,0,0.027,3.2,0.0005,0.0011,0.003,0.0008,0,1.1,0.0013,0.19,0.0005,0.0002,0.0021,0,0.006,0.03,0.036,0
ホウレンソウ,0.25,0.915,0.026,0.005,0.04,0.012,0.1,4.9,0.69,0.4,0.43,0.009,0.007,0.0011,0.0033,0,54,9,0,0.027,3.2,0.0005,0.0011,0.003,0.0008,0,1.1,0.0013,0.19,0.0005,0.0002,0.0021,0,0.006,0.03,0.036,0
ほうれん草,0.25,0.915,0.026,0.005,0.04,0.012,0.1,4.9,0.69,0.4,0.43,0.009,0.007,0.0011,0.0033,0,54,9,0,0.027,3.2,0.0005,0.0011,0.003,0.0008,0,1.1,0.0013,0.19,0.0005,0.0002,0.0021,0,0.006,0.03,0.036,0
ほうれんそう夏,0.25,0.915,0.026,0.005,0.04,0.012,0.1,4.9,0.69,0.4,0.43,0.009,0.007,0.0011,0.0033,0,54,9,0,0.027,3.2,0.0005,0.0011,0.003,0.0008,0,1.1,0.0013,0.1,0.0005,0.0002,0.0021,0,0.006,0.03,0.036,0
ほうれんそう冬,0.25,0.915,0.026,0.005,0.04,0.012,0.1,4.9,0.69,0.4,0.43,0.009,0.007,0.0011,0.0033,0,54,9,0,0.027,3.2,0.0005,0.0011,0.003,0.0008,0,1.1,0.0013,0.3,0.0005,0.0002,0.0021,0,0.006,0.03,0.036,0
ラディシュ,0.79,0.773,0.031,0.003,0.177,0.016,0.01,5.1,1.1,0.65,0.58,0.01,0.023,0.0019,0.004,0,0.07,0.01,0,0,0,0.001,0.001,0.005,0.0023,0,0.99,0.0032,0.73,0,0,0,0,0.008,0.074,0.082,0
まこも,0.21,0.935,0.013,0.002,0.044,0.006,0.03,2.4,0.02,0.08,0.42,0.002,0.002,0.0002,0.0025,0,0.15,0.03,0,0,0.02,0.0004,0.0003,0.005,0.0008,0,0.43,0.0025,0.06,0.0005,0.0001,0.0004,0,0.002,0.021,0.023,0
みつば,0.17,0.937,0.011,0,0.04,0.009,0.03,3.6,0.56,0.18,0.39,0.006,0.001,0.0002,0.0048,0,41,6.8,0,0.013,2.5,0.0002,0.0008,0.004,0.0003,0,0.23,0.0022,0.04,0,0,0,0,0.004,0.026,0.03,0
みょうが,0.12,0.956,0.009,0.001,0.026,0.008,0.01,2.1,0.25,0.3,0.12,0.005,0.004,0.0005,0.0117,0,0.31,0.05,0,0.002,0.2,0.0005,0.0005,0.004,0.0007,0,0.25,0.002,0.02,0,0,0,0,0.004,0.017,0.021,0
みょうがたけ,0.07,0.971,0.004,0.001,0.015,0.008,0,3.5,0.11,0.07,0.18,0.003,0.003,0.0003,0.0144,0,0.06,0.01,0,0.001,0.08,0.0002,0.0002,0.001,0.0002,0,0.13,0.0007,0.01,0,0,0,0,0.001,0.01,0.011,0
むかご,0.93,0.751,0.029,0.002,0.206,0.012,0.03,5.7,0.05,0.19,0.64,0.006,0.004,0.0015,0.0005,0,0.24,0.04,0,0.004,0,0.0011,0.0002,0.003,0.0007,0,0.2,0.006,0.09,0,0,0,0,0.008,0.034,0.042,0
めキャベツ,0.49,0.838,0.053,0.001,0.098,0.01,0.05,4.8,0.36,0.22,0.75,0.01,0.005,0.0007,0.0025,0,6.9,1.1,0,0.005,1.6,0.0013,0.0016,0.006,0.0022,0,2.2,0.0065,1.1,0,0,0,0,0.014,0.038,0.052,0
めたで,0.43,0.87,0.03,0.005,0.088,0.007,0.09,1.4,0.49,0.7,1.1,0.023,0.009,0.0009,0.0766,0,49,8.2,0,0.049,3.6,0.0015,0.0021,0.011,0.0027,0,0.77,0.0029,0.67,0,0,0,0,0.006,0.057,0.063,0
アルファルファもやし,0.12,0.96,0.016,0.001,0.02,0.003,0.07,0.43,0.14,0.13,0.37,0.005,0.004,0.0009,0.001,0,0.56,0.09,0,0.019,0.47,0.0007,0.0009,0.002,0.001,0,0.56,0.0046,0.05,0,0,0,0,0.001,0.013,0.014,0
もやし,0.34,0.93,0.029,0.016,0.022,0.003,0.01,0.5,0.24,0.19,0.43,0.004,0.003,0.0008,0.0035,0,0,0,0,0.008,0.49,0.0004,0.0004,0.001,0.0004,0,0.39,0.0019,0.01,0.0021,0.0021,0.0083,0,0.003,0.019,0.022,0
モロヘイヤ,0.25,0.913,0.03,0.004,0.04,0.012,0.04,1.6,1.7,0.26,0.53,0.006,0.004,0.002,0.0102,0,66,11,0,0.034,4.5,0.0006,0.0013,0.004,0.0008,0,0.67,0.007,0.11,0,0,0,0,0.008,0.027,0.035,0
やまごぼうみそ漬,0.72,0.728,0.041,0.001,0.156,0.074,28,2,0.23,0.24,0.49,0.013,0.003,0.0013,0.0028,0,0,0,0,0.006,0.01,0.0002,0.001,0.004,0.0003,0,0.14,0.0002,0,0,0,0,0,0.031,0.039,0.07,0.071
ゆりね,1.26,0.665,0.034,0.001,0.287,0.013,0.01,6.9,0.1,0.24,0.65,0.009,0.007,0.0014,0.0075,0,0,0,0,0.005,0,0.0007,0.0007,0.006,0.0012,0,0.92,0,0.08,0,0,0,0,0.032,0.028,0.06,0
よもぎ,0.42,0.859,0.048,0.001,0.082,0.01,0.03,2.5,1.4,0.24,0.88,0.03,0.004,0.0028,0.0075,0,60,10,0,0.035,3.8,0.0008,0.0009,0.005,0.0004,0,0.51,0.0013,0.02,0,0,0,0,0.009,0.069,0.078,0
らっかせい,2.88,0.513,0.119,0.235,0.123,0.01,0.02,2.9,0.24,0.86,1.7,0.009,0.011,0.0036,0.005,0,0,0,0,0.072,0,0.003,0.0013,0.082,0.0019,0,1.5,0.0091,0.19,0,0,0,0,0.002,0.04,0.042,0
らっきょう,1.15,0.678,0.007,0.002,0.29,0.023,8.6,0.38,0.15,0.04,0.21,0.011,0.002,0.0007,0,0,0,0,0,0.002,0.02,0.0001,0.0001,0.002,0.0002,0,0,0,0,0,0,0,0,0.014,0.017,0.031,0.022
エシャロット,0.76,0.791,0.023,0.002,0.178,0.006,0.02,2.9,0.2,0.14,0.47,0.008,0.005,0.0006,0.0037,0,0.18,0.03,0,0.004,0.06,0.0003,0.0005,0.008,0.0011,0,0.55,0.0033,0.21,0,0,0,0,0.091,0.023,0.114,0
レタス,0.12,0.959,0.006,0.001,0.028,0.005,0.02,2,0.19,0.08,0.22,0.003,0.002,0.0004,0.0013,0,2.4,0.4,0,0.003,0.29,0.0005,0.0003,0.002,0.0005,0,0.73,0.002,0.05,0.0001,0,0.0003,0,0.001,0.01,0.011,0
サラダな,0.14,0.949,0.017,0.002,0.022,0.01,0.06,4.1,0.56,0.14,0.49,0.024,0.002,0.0004,0,0,22,3.6,0,0.016,1.1,0.0006,0.0013,0.003,0.0006,0,0.71,0.0025,0.14,0.0001,0,0.0006,0,0.002,0.016,0.018,0
リーフレタス,0.16,0.94,0.014,0.001,0.033,0.01,0.06,4.9,0.58,0.15,0.41,0.01,0.005,0.0006,0.0034,0,23,3.9,0,0.014,1.6,0.001,0.001,0.004,0.001,0,1.1,0.0024,0.21,0,0,0,0,0.005,0.014,0.019,0
サニーレタス,0.16,0.941,0.012,0.002,0.032,0.011,0.04,4.1,0.66,0.15,0.31,0.018,0.004,0.0005,0.0043,0,20,3.4,0,0.013,1.6,0.001,0.001,0.003,0.0008,0,1.2,0.0014,0.17,0,0,0,0,0.006,0.014,0.02,0
れんこん,0.66,0.819,0.013,0.001,0.161,0.006,0.15,2.4,0.2,0.13,0.78,0.004,0.003,0.0005,0.008,0,0.03,0,0,0.006,0,0.0006,0,0.002,0.0007,0,0.08,0.0049,0.18,0.0001,0.0001,0.0002,0,0.002,0.021,0.023,0
わけぎ,0.3,0.903,0.016,0,0.074,0.007,0.01,2.3,0.59,0.23,0.25,0.004,0.002,0.0004,0.0023,0,27,4.5,0,0.014,1.7,0.0006,0.001,0.003,0.0018,0,1.2,0.0021,0.37,0,0,0,0,0.003,0.025,0.028,0
わさび,0.88,0.742,0.056,0.002,0.184,0.015,0.24,5,1,0.46,0.79,0.008,0.007,0.0003,0.0014,0,0.07,0.01,0,0.014,0.49,0.0006,0.0015,0.006,0.0032,0,0.5,0.002,0.75,0,0,0,0,0.008,0.036,0.044,0.001
わさび漬,1.45,0.614,0.071,0.005,0.28,0.03,10,1.4,0.4,0.16,0.72,0.009,0.011,0.0015,0.0038,0,1.7,0.28,0,0.001,0.09,0.0008,0.0017,0.006,0.0038,0,0.45,0.0025,0.01,0,0,0,0,0.01,0.017,0.027,0.025
わらび,0.15,0.952,0.015,0.001,0.03,0.002,0.03,0.1,0.31,0.1,0.24,0.006,0.005,0.0006,0.0008,0,1.6,0.27,0,0.013,0.15,0,0.0005,0.004,0,0,0.33,0,0,0,0,0,0,0.005,0.025,0.03,0
あけび,0.82,0.771,0.005,0.001,0.22,0.003,0,0.95,0.11,0.14,0.22,0.003,0.001,0.0009,0.0015,0,0,0,0,0.002,0,0.0007,0.0003,0.003,0.0008,0,0.3,0.0029,0.65,0,0,0,0,0.006,0.005,0.011,0
アセロラ,0.36,0.899,0.007,0.001,0.09,0.003,0.07,1.3,0.11,0.1,0.18,0.005,0.005,0.0031,0,0,3.7,0.62,0,0.009,0,0.0003,0.0004,0.003,0,0,0.45,0.0025,17,0.0001,0,0.0001,0,0.008,0.011,0.019,0
アセロラ飲料,0.42,0.894,0.001,0,0.105,0,0.01,0.13,0.01,0.01,0.02,0.001,0.001,0.0004,0,0,0.35,0.06,0,0.001,0,0,0,0,0,0,0.05,0.0003,1.2,0,0,0,0,0.001,0.001,0.002,0
アボカド,1.87,0.713,0.025,0.187,0.062,0.013,0.07,7.2,0.09,0.33,0.55,0.007,0.007,0.0024,0.0018,0,0.75,0.13,0,0.034,0,0.001,0.0021,0.02,0.0032,0,0.84,0.0165,0.15,0.0318,0.1085,0.0215,0,0.017,0.036,0.053,0
あんず,0.36,0.898,0.01,0.003,0.085,0.004,0.02,2,0.09,0.08,0.15,0.003,0.001,0.0004,0.0021,0,15,2.5,0,0.017,0,0.0002,0.0002,0,0.0005,0,0.02,0.003,0.03,0,0,0,0,0.006,0.01,0.016,0
アンズ,0.36,0.898,0.01,0.003,0.085,0.004,0.02,2,0.09,0.08,0.15,0.003,0.001,0.0004,0.0021,0,15,2.5,0,0.017,0,0.0002,0.0002,0,0.0005,0,0.02,0.003,0.03,0,0,0,0,0.006,0.01,0.016,0
乾燥あんず,2.88,0.168,0.092,0.004,0.704,0.032,0.15,13,0.7,0.45,1.2,0.023,0.009,0.0043,0.0032,0,50,8.3,0,0.014,0,0,0.0003,0.035,0.0018,0,0.1,0.0053,0,0,0,0,0,0.043,0.055,0.098,0
アンズ缶,0.81,0.798,0.005,0.004,0.189,0.004,0.04,1.9,0.18,0.07,0.14,0.002,0.001,0.0003,0.0003,0,5.5,0.92,0,0.009,0,0.0001,0.0001,0.001,0.0004,0,0.02,0,0,0,0,0,0,0.004,0.004,0.008,0
