name,energy,protein,lipid,carbohydrate,calcium,iron,vitaminE,vitaminB1,vitaminB2,vitaminC,cholesterol,solt
ハヤシルウ,5.12,0.058,0.332,0.475,0.3,0.01,0.027,0.0014,0.0006,0,0.2,0.107
酒かす,2.27,0.149,0.015,0.238,0.08,0.008,0,0.0003,0.0026,0,0,0
みりん風調味料,2.26,0.001,0,0.549,0,0.001,0,0,0.0002,0,0,0.002
オールスパイス,3.74,0.056,0.056,0.752,7.1,0.047,0,0,0.0005,0,0,0.001
オニオンパウダー,3.64,0.088,0.011,0.798,1.4,0.031,0,0.003,0.001,0.1,0,0.001
からし粉,4.36,0.33,0.143,0.437,2.5,0.111,0,0.0073,0.0026,0,0,0.001
練りからし,3.15,0.059,0.145,0.401,0.6,0.021,0,0.0022,0.0007,0,0,0.074
マスタード,1.74,0.048,0.106,0.131,0.71,0.018,0.016,0.0014,0.0004,0,0,0.03
粒入りマスタード,2.29,0.076,0.16,0.127,1.3,0.024,0.014,0.0032,0.0005,0,0,0.041
カレー粉,4.15,0.13,0.122,0.633,5.4,0.285,0.049,0.0041,0.0025,0.02,0.08,0.001
クローブ,4.17,0.072,0.136,0.664,6.4,0.099,0,0.0004,0.0027,0,0,0.007
黒こしょう,3.64,0.11,0.06,0.666,4.1,0.2,0,0.001,0.0024,0,0,0.002
白こしょう,3.78,0.101,0.064,0.701,2.4,0.073,0,0.0002,0.0012,0,0,0
こしょう,3.71,0.106,0.062,0.683,3.3,0.137,0,0.0006,0.0018,0.01,0,0.001
コショー,3.71,0.106,0.062,0.683,3.3,0.137,0,0.0006,0.0018,0.01,0,0.001
コショウ,3.71,0.106,0.062,0.683,3.3,0.137,0,0.0006,0.0018,0.01,0,0.001
粉さんしょう,3.75,0.103,0.062,0.696,7.5,0.101,0,0.001,0.0045,0,0,0
シナモン,3.64,0.036,0.035,0.796,12,0.071,0,0.0008,0.0014,0,0,0.001
しょうが粉,3.65,0.078,0.049,0.725,1.1,0.141,0,0.0004,0.0017,0,0,0.001
おろししょうが,0.43,0.007,0.006,0.086,0.16,0.003,0,0.0002,0.0003,1.2,0,0.015
セージ,3.84,0.064,0.101,0.669,15,0.5,0,0.0009,0.0055,0,0,0.003
タイム,3.52,0.065,0.052,0.698,17,1.1,0,0.0009,0.0069,0,0,0
チリパウダー,3.74,0.15,0.082,0.601,2.8,0.293,0,0.0025,0.0084,0,0,0.064
とうがらし,4.19,0.162,0.097,0.668,1.1,0.121,0,0.0043,0.0115,0,0,0
ナツメグ,5.59,0.057,0.385,0.475,1.6,0.025,0,0.0005,0.001,0,0,0
ガーリックパウダー,3.82,0.199,0.008,0.738,1,0.066,0.004,0.0054,0.0015,0,0.02,0
おろしにんにく,1.71,0.047,0.005,0.37,0.22,0.007,0,0.0011,0.0004,0,0,0.046
バジル粉,3.07,0.211,0.022,0.506,28,1.2,0.048,0.0026,0.0109,0.01,0,0.001
乾燥パセリ,3.41,0.287,0.022,0.516,13,0.175,0.073,0.0089,0.0202,8.2,0,0.022
パプリカ,3.89,0.155,0.116,0.556,1.7,0.211,0,0.0052,0.0178,0,0,0.002
わさび粉,3.84,0.165,0.044,0.697,3.2,0.093,0,0.0055,0.003,0,0,0.001
練りわさび,2.65,0.033,0.103,0.398,0.62,0.02,0,0.0011,0.0007,0,0,0.061
ベーキングパウダー,1.27,0,0.012,0.29,24,0.001,0,0,0,0,0,0.173
カレーレトルトパウチ,1.18,0.033,0.073,0.098,0.2,0.011,0,0.0011,0.0005,0.01,0,0.013
ぎょうざ,1.97,0.071,0.081,0.238,0.3,0.01,0.003,0.0009,0.001,0.06,0.17,0.012
ギョウザ,1.97,0.071,0.081,0.238,0.3,0.01,0.003,0.0009,0.001,0.06,0.17,0.012
餃子,1.97,0.071,0.081,0.238,0.3,0.01,0.003,0.0009,0.001,0.06,0.17,0.012
グラタン,1.33,0.048,0.067,0.133,0.66,0.004,0,0.0004,0.0008,0.01,0,0.009
コーンクリームスープ粉末,4.25,0.081,0.137,0.674,1.2,0.012,0,0.0015,0.0041,0.02,0,0.071
コーンクリームスープレトルトパウチ,0.86,0.02,0.048,0.086,0.3,0.002,0,0.0003,0.0007,0.02,0,0.007
クリームコロッケ,1.59,0.047,0.063,0.209,0.43,0.005,0,0.0006,0.001,0.02,0,0.007
コロッケ,1.64,0.046,0.049,0.253,0.2,0.007,0.002,0.0009,0.0006,0.07,0.02,0.007
牛肉コロッケ,1.64,0.046,0.049,0.253,0.2,0.007,0.002,0.0009,0.0006,0.07,0.02,0.007
カニクリームコロッケ,1.59,0.047,0.063,0.209,0.43,0.005,0,0.0006,0.001,0.02,0,0.007
イカフライ,1.46,0.106,0.02,0.214,0.16,0.004,0,0.001,0,0,0,0.008
イカリングフライ,1.46,0.106,0.02,0.214,0.16,0.004,0,0.001,0,0,0,0.008
エビフライ,1.39,0.102,0.019,0.203,0.42,0.015,0,0.0004,0.0007,0.01,0,0.009
白身魚フライ,1.48,0.116,0.027,0.193,0.47,0.005,0,0.001,0.001,0.01,0,0.009
シチューレトルトパウチ,1.18,0.06,0.072,0.074,0.15,0.009,0,0.0011,0.0008,0.05,0,0.007
しゅうまい,2.15,0.093,0.112,0.193,0.3,0.012,0.004,0.0012,0.0013,0.01,0.37,0.013
シュウマイ,2.15,0.093,0.112,0.193,0.3,0.012,0.004,0.0012,0.0013,0.01,0.37,0.013
焼売,2.15,0.093,0.112,0.193,0.3,0.012,0.004,0.0012,0.0013,0.01,0.37,0.013
ハンバーグ,2.23,0.133,0.134,0.123,0.38,0.018,0,0.0016,0.0023,0.01,0,0.012
ピラフ,1.61,0.038,0.028,0.301,0.12,0.004,0,0.0005,0.0002,0.02,0,0.009
ミートボール,2.44,0.117,0.164,0.125,0.18,0.013,0.007,0.001,0.0017,0.01,0.43,0.013
メンチカツ,1.96,0.099,0.072,0.23,0.31,0.016,0,0.0013,0.0014,0.01,0,0.011
海鮮ステーキ,0.81,0.069,0.015,0.105,0.23,0.005,0.005,0.0002,0.0004,0.06,0.2,0.008
マービージャム,1.58,0.003,0.001,0.684,0.08,0.006,0.002,0.0001,0.0001,0.1,0,0
マービー,1.4,0,0,0.75,0,0,0,0,0,0,0,0
マービー液,1.4,0,0,0.75,0,0,0,0,0,0,0,0
照焼つくね,2.15,0.125,0.122,0.137,0.11,0.007,0.002,0.001,0.0021,0,0.75,0.017
ひとくちがんもどき,2.28,0.153,0.178,0.016,2.7,0.036,0.024,0.0003,0.0004,0,0,0.005
一口がんも,2.28,0.153,0.178,0.016,2.7,0.036,0.024,0.0003,0.0004,0,0,0.005
いちごジャム,2.56,0.004,0.001,0.633,0.09,0.002,0.001,0.0001,0.0001,0.09,0,0
マーガリン,7.58,0.004,0.816,0.012,0.14,0,0.191,0.0001,0.0003,0,0.05,0.012
ジャム＆マーガリン,5.07,0.004,0.409,0.323,0.12,0.001,0.096,0.0001,0.0002,0.05,0.03,0.006
オレンジ,0.39,0.01,0.001,0.098,0.21,0.003,0.003,0.001,0.0003,0.4,0,0
